domain,freq_data_us,wilson
abs-cbn.com,60,
wave3.com,60,0.1931
wkrn.com,60,0.3045
kalb.com,59,0.4986
cookpolitical.com,58,-0.3078
spokesman.com,58,0.0198
wn.com,58,0.0313
onwardstate.com,58,0.265
ksn.com,58,0.5805
wlbt.com,58,
wpri.com,58,-0.1903
wtnh.com,57,0.1188
universalhub.com,56,-0.6899
abc10.com,56,0.1524
ctvnews.ca,55,-0.0435
theadvertiser.com,55,0.3796
riverfronttimes.com,54,-0.4402
citybeat.com,54,-0.3737
kgw.com,54,-0.1708
wkrg.com,54,0.1309
smh.com.au,53,-0.1802
mcclatchydc.com,53,-0.1175
palmbeachpost.com,53,0.0766
macon.com,53,0.2181
goupstate.com,53,0.2843
fox43.com,53,0.4509
ktvu.com,53,-0.0149
kwqc.com,53,0.2925
portlandmercury.com,52,-0.8211
lbpost.com,52,
witn.com,52,0.1935
blacknews.com,51,-0.6366
dailypress.com,51,-0.0883
courierpostonline.com,51,-0.086
heraldcourier.com,51,0.115
poststar.com,51,0.2347
theherald-news.com,51,
fox8live.com,51,0.2408
wbay.com,51,0.2115
wfxg.com,51,
woodtv.com,51,0.2122
blavity.com,50,-0.8179
thehindu.com,50,-0.334
tuscaloosanews.com,50,0.3539
12news.com,50,0.1167
kxan.com,50,0.0761
whsv.com,50,0.0343
wlky.com,50,0.2107
recordonline.com,49,-0.0162
napavalleyregister.com,49,0.1744
nebraska.tv,49,0.6493
wsoctv.com,49,0.3071
isthmus.com,48,-0.7832
jacksonville.com,48,0.3326
hickoryrecord.com,48,0.3964
thetelegraph.com,48,
chronicleonline.com,48,
katc.com,48,0.4374
krqe.com,48,0.0332
wivb.com,48,0.0877
ctpost.com,47,-0.0683
jconline.com,47,0.091
smokymountainnews.com,47,
rrstar.com,47,
whdh.com,47,-0.0981
wsls.com,47,-0.0205
rutlandherald.com,46,-0.1776
joplinglobe.com,46,0.3463
tnonline.com,46,
ktnv.com,46,0.1886
mediamatters.org,45,-0.7221
metro.us,45,-0.402
foreignaffairs.com,45,-0.3666
montgomeryadvertiser.com,45,-0.1615
thenewstribune.com,45,-0.0753
conservativereview.com,45,0.9036
theitem.com,45,
northcoastjournal.com,45,
lansingstatejournal.com,44,0.0795
republicanherald.com,44,0.2475
thestarpress.com,44,0.2668
ldnews.com,44,0.4414
wahpetondailynews.com,44,
wboy.com,44,0.1722
wchstv.com,44,0.15
governing.com,43,-0.2802
desertsun.com,43,-0.1163
heraldsun.com.au,43,0.2707
staugustine.com,43,0.361
spiked-online.com,43,0.3727
therightscoop.com,43,0.8978
sanclementetimes.com,43,
parispi.net,43,
grandhaventribune.com,43,
fox61.com,43,0.1758
wng.org,43,
wweek.com,42,-0.6215
psmag.com,42,-0.5787
counterpunch.org,42,-0.338
tallahassee.com,42,0.179
idahostatejournal.com,42,0.4792
auroranewsregister.com,42,
htrnews.com,42,
laweekly.com,41,-0.4391
newsleader.com,41,-0.0708
toledoblade.com,41,-0.0608
cecildaily.com,41,0.1744
kansas.com,41,0.4304
waaytv.com,41,
wfsb.com,41,0.0136
wtvm.com,41,
citypages.com,40,-0.5999
mountainx.com,40,-0.3883
thenational.ae,40,-0.2521
postandcourier.com,40,-0.2406
broadcastingcable.com,40,-0.1685
annistonstar.com,40,0.1353
nowthisnews.com,40,0.1546
rgj.com,40,0.1664
richmondregister.com,40,0.2305
news-expressky.com,40,
kltv.com,40,0.4223
azdailysun.com,39,-0.2053
newstimes.com,39,-0.0205
thesouthern.com,39,0.0015
sbsun.com,39,0.1353
wcpo.com,39,0.1679
stripes.com,39,0.3034
tcpalm.com,39,0.3656
waff.com,39,0.6165
wsbt.com,39,0.331
sandiegoreader.com,38,0.0358
oann.com,38,0.8644
mrctv.org,38,0.8813
