domain,Frequency count in our data,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound
krytykapolityczna.pl,685,-0.4926275,-0.5616452,-0.4172449
300polityka.pl,671,0.03367715,-0.034813825,0.1001736
aszdziennik.pl,641,-0.3909585,-0.486855,-0.2924315
24wspolnota.pl,631,,,
parkiet.com,604,-0.289,-0.41350295,-0.1636132
24kurier.pl,530,0.0815941,-0.04786652,0.21117555
tustolica.pl,488,,,
fronda.pl,479,0.637337,0.56703295,0.70318105
przegladkoninski.pl,435,,,
polityczek.pl,419,-1.172565,-1.305839,-1.018921
radiowroclaw.pl,370,,,
radiomaryja.pl,341,0.4404165,0.3699915,0.5119033
polskieradio24.pl,337,0.2429185,0.16782485,0.3201035
info.elblag.pl,327,,,
wysokienapiecie.pl,322,-0.1650715,-0.23624925,-0.082892725
tygodnik.info,299,,,
gazetaolsztynska.pl,296,,,
niezlomni.com,266,1.35313,1.272808,1.437911
olsztyn.com.pl,232,,,
tyna.info.pl,232,,,
niedziela.pl,228,0.930695,0.86766365,0.99414845
regiony.tvp.pl,226,,,
supernowosci24.pl,223,0.05767885,-0.27842565,0.42081595
radiolodz.pl,217,,,
tygodnik.pl,215,,,
tysol.pl,200,0.6779305,0.5803392,0.7835069
tygodnikpowszechny.pl,187,-0.343528,-0.4375777,-0.2512292
ostrowiecka.pl,187,,,
zycie.pl,187,,,
tp.com.pl,186,,,
politykazdrowotna.com,181,-0.105348,-0.26108565,0.050965105
limanowa.in,175,,,
tv-trwam.pl,174,0.563657,0.50619095,0.62520785
radiopoznan.fm,172,,,
biznesalert.pl,169,0.07636325,0.012763115,0.14084925
gazetacz.com.pl,168,,,
zyciesiedleckie.pl,166,,,
dzienniknarodowy.pl,162,0.9793125,0.8950909,1.0623735
eglos.pl,154,,,
newseria.pl,151,,,
wsensie.pl,148,0.7474535,0.67494395,0.8286507
superstacja.tv,141,-0.2442585,-0.3405398,-0.14840025
wgospodarce.pl,136,0.353207,0.23857335,0.4732277
kresy.pl,126,,,
energetyka24.com,121,0.1833965,0.087629865,0.274147
cire.pl,118,-0.150829,-0.2344066,-0.076527565
wprawo.pl,111,0.8901065,0.6774133,1.102136
tygodnikzamojski.pl,107,,,
shareinfo.pl,101,0.8907755,0.74837635,1.02286
stefczyk.info,96,,,
thefad.pl,96,-1.076575,-1.5814175,-0.5683957
wiadomo.co,95,-0.8306365,-0.90456515,-0.76040755
24tp.pl,87,,,
strajk.eu,86,-1.681755,-1.743495,-1.6177375
kurierzawiercianski.pl,79,,,
dts24.pl,78,1.81786,1.7154705,1.9303885
propertynews.pl,66,-0.4828765,-1.222993,0.1612929
przekroj.pl,62,-0.487576,-0.85994665,-0.117659
temi.pl,58,,,
tygodnikprzeglad.pl,55,-0.846214,-0.9575706,-0.73882625
jarocinska.pl,55,,,
palukitv.pl,55,,,
gazetapolska.pl,54,0.754251,0.67815315,0.83339165
zyciekalisza.pl,54,,,
naszdziennik.pl,53,0.849048,0.7820863,0.9169669
wsieciprawdy.pl,38,0.3869845,0.3349308,0.43674825
kronikatygodnia.pl,38,,,
gospodarkapodkarpacka.pl,35,,,
